.region_id,ecometric,year,value,time_period
25025140105,Guns,2019,2.46,2019-01-01
25025120105,Guns,2010,0.87,2010-01-01
25025120105,Guns,2011,0.85,2011-01-01
25025120105,Guns,2012,0.41,2012-01-01
25025120105,Guns,2013,0.38,2013-01-01
25025120105,Guns,2014,1.1,2014-01-01
25025120105,Guns,2015,1.81,2015-01-01
25025120105,Guns,2016,0.73,2016-01-01
25025120105,Guns,2017,2.18,2017-01-01
25025120105,Guns,2018,0.73,2018-01-01
25025120105,Guns,2019,1.83,2019-01-01
25025120301,Guns,2010,0.8,2010-01-01
25025120301,Guns,2011,6.53,2011-01-01
25025120301,Guns,2012,2.95,2012-01-01
25025120301,Guns,2013,4.61,2013-01-01
25025120301,Guns,2014,7.69,2014-01-01
25025120301,Guns,2015,4.94,2015-01-01
25025120301,Guns,2016,4.75,2016-01-01
25025120301,Guns,2017,6.27,2017-01-01
25025120301,Guns,2018,2.47,2018-01-01
25025120301,Guns,2019,2.33,2019-01-01
25025071201,Guns,2010,0.34,2010-01-01
25025071201,Guns,2011,5.11,2011-01-01
25025071201,Guns,2012,1.79,2012-01-01
25025071201,Guns,2013,1.77,2013-01-01
25025071201,Guns,2014,1.72,2014-01-01
25025071201,Guns,2015,2.79,2015-01-01
25025071201,Guns,2016,5.59,2016-01-01
25025071201,Guns,2017,2.51,2017-01-01
25025071201,Guns,2018,2.79,2018-01-01
25025071201,Guns,2019,3.75,2019-01-01
25025091001,Guns,2010,0.36,2010-01-01
25025091001,Guns,2011,5.39,2011-01-01
25025091001,Guns,2012,3.19,2012-01-01
25025091001,Guns,2013,6.53,2013-01-01
25025091001,Guns,2014,3.4,2014-01-01
25025091001,Guns,2015,3.94,2015-01-01
25025091001,Guns,2016,2.95,2016-01-01
25025091001,Guns,2017,4.6,2017-01-01
25025091001,Guns,2018,6.24,2018-01-01
25025091001,Guns,2019,3.03,2019-01-01
25025091500,Guns,2010,1.2,2010-01-01
25025091500,Guns,2011,6.91,2011-01-01
25025091500,Guns,2012,7.15,2012-01-01
25025091500,Guns,2013,9.16,2013-01-01
25025091500,Guns,2014,10.47,2014-01-01
25025091500,Guns,2015,9.22,2015-01-01
25025091500,Guns,2016,12.1,2016-01-01
